Age,Income,Student,Credit_Rating,Buys_Computer
61,40305,No,Excellent,Yes
61,43946,Yes,Excellent,Yes
37,75270,No,Excellent,Yes
47,24045,Yes,Fair,No
28,52130,Yes,Fair,Yes
45,65557,No,Fair,Yes
42,45353,Yes,Fair,Yes
56,32452,No,Excellent,Yes
50,48380,No,Fair,No
18,72906,No,Excellent,Yes
44,40763,No,Fair,No
69,71542,No,Excellent,No
30,53880,No,Excellent,No
58,68487,Yes,Fair,No
20,53280,No,Excellent,Yes
56,42734,Yes,Fair,No
23,74582,No,Fair,Yes
25,53378,Yes,Fair,Yes
44,52496,No,Fair,No
26,62113,Yes,Fair,No
54,63862,No,Excellent,No
50,62192,No,Excellent,Yes
68,29739,No,Excellent,Yes
59,40441,Yes,Fair,No
61,40152,No,Excellent,Yes
41,38313,No,Fair,No
32,36918,Yes,Fair,No
49,39934,Yes,Excellent,Yes
49,55039,No,Fair,No
41,57416,No,Excellent,No
58,49975,No,Excellent,Yes
69,43609,No,Fair,No
66,69131,Yes,Fair,Yes
66,48626,Yes,Fair,No
69,64056,Yes,Excellent,Yes
29,41460,No,Fair,No
56,56205,Yes,Fair,Yes
19,70131,Yes,Fair,Yes
20,10868,Yes,Excellent,Yes
66,40173,No,Fair,No
54,58906,No,Fair,No
66,68192,No,Excellent,No
34,53046,No,Excellent,Yes
66,50743,No,Fair,Yes
19,74158,Yes,Fair,Yes
19,69109,No,Fair,Yes
45,36971,No,Excellent,No
40,51746,No,Fair,No
54,55402,No,Excellent,No
49,75778,No,Excellent,No
50,62991,No,Excellent,No
18,48446,No,Fair,Yes
36,53301,No,Excellent,No
19,21741,No,Excellent,Yes
61,64529,No,Excellent,No
43,59685,Yes,Fair,Yes
49,68182,No,Excellent,Yes
23,47839,Yes,Fair,Yes
49,51920,No,Fair,No
21,42779,No,Fair,No
28,32779,No,Excellent,No
34,40966,No,Fair,Yes
55,22710,Yes,Fair,No
41,63719,Yes,Fair,Yes
22,17376,No,Fair,Yes
69,80482,Yes,Excellent,Yes
51,23538,Yes,Excellent,Yes
23,72498,No,Fair,Yes
39,36379,No,Fair,No
28,58415,No,Excellent,Yes
65,38713,Yes,Fair,No
33,75106,No,Fair,Yes
50,50655,No,Excellent,Yes
26,66105,No,Excellent,Yes
23,51140,No,Fair,Yes
33,55294,Yes,Excellent,Yes
46,59241,No,Fair,No
20,42069,No,Excellent,Yes
37,30795,No,Fair,No
53,30475,No,Fair,Yes
36,50762,No,Fair,Yes
43,42670,No,Excellent,Yes
20,17812,No,Excellent,No
36,57694,No,Fair,Yes
37,31722,No,Fair,No
49,32595,No,Excellent,No
24,49375,No,Fair,Yes
69,36498,No,Fair,Yes
58,51837,No,Excellent,Yes
50,79601,No,Fair,No
57,44314,No,Excellent,No
56,34106,No,Excellent,No
35,52722,No,Fair,Yes
57,38371,Yes,Fair,No
18,50356,Yes,Fair,Yes
28,54734,Yes,Excellent,Yes
45,49472,No,Excellent,No
42,50848,Yes,Excellent,Yes
67,52881,Yes,Fair,Yes
40,73956,Yes,Excellent,Yes
48,46206,Yes,Excellent,Yes
47,51911,Yes,Excellent,No
59,63002,No,Excellent,No
52,57065,No,Excellent,No
24,44626,Yes,Excellent,Yes
33,63527,Yes,Excellent,Yes
43,36931,Yes,Fair,Yes
65,46598,Yes,Fair,No
69,38433,No,Excellent,Yes
66,58642,No,Fair,No
19,67843,Yes,Excellent,Yes
18,53350,No,Excellent,Yes
65,51128,Yes,Excellent,No
29,36874,No,Fair,Yes
22,39461,No,Fair,No
54,32101,No,Fair,No
49,17349,Yes,Excellent,Yes
26,44134,No,Excellent,Yes
58,45528,Yes,Excellent,Yes
52,82592,Yes,Fair,No
36,73442,Yes,Excellent,Yes
65,58334,Yes,Excellent,Yes
33,81267,No,Fair,Yes
20,70863,No,Excellent,Yes
37,19886,Yes,Fair,Yes
41,66011,No,Fair,No
50,60671,No,Excellent,No
41,45659,No,Fair,No
69,28771,No,Excellent,Yes
28,58931,No,Excellent,No
66,18813,No,Excellent,No
25,49677,No,Fair,No
53,40743,Yes,Excellent,No
55,31117,No,Excellent,Yes
57,67832,No,Excellent,Yes
37,49380,Yes,Fair,No
52,52609,No,Fair,No
65,63618,Yes,Excellent,Yes
42,49868,Yes,Fair,No
52,56771,Yes,Excellent,No
42,62237,Yes,Excellent,Yes
46,58501,No,Excellent,No
35,54289,No,Excellent,Yes
63,76746,No,Excellent,Yes
35,68629,No,Excellent,Yes
19,48713,Yes,Excellent,No
52,36354,No,Excellent,No
33,59579,No,Fair,No
58,53237,No,Fair,Yes
53,75634,Yes,Excellent,Yes
50,64812,No,Fair,No
21,61463,No,Fair,No
50,50194,No,Fair,No
31,36864,No,Excellent,No
38,47030,No,Excellent,No
65,57152,No,Excellent,No
37,24056,No,Excellent,Yes
25,68625,Yes,Excellent,Yes
24,81005,No,Fair,Yes
20,20825,No,Excellent,No
34,28996,No,Fair,Yes
50,53444,Yes,Excellent,Yes
65,41261,Yes,Excellent,No
29,53913,No,Fair,Yes
68,48924,Yes,Fair,Yes
39,34642,No,Fair,Yes
39,69326,Yes,Fair,Yes
63,56967,Yes,Fair,Yes
47,41603,No,Excellent,Yes
55,72575,No,Excellent,Yes
55,42373,Yes,Excellent,No
62,31372,Yes,Excellent,Yes
68,52752,Yes,Excellent,No
25,55297,No,Excellent,Yes
44,57978,Yes,Fair,Yes
44,60445,No,Excellent,No
51,57741,No,Fair,Yes
38,57132,Yes,Excellent,Yes
47,41393,No,Excellent,No
50,39788,No,Excellent,No
45,61135,Yes,Fair,Yes
64,53651,No,Excellent,Yes
50,62303,No,Excellent,No
22,24390,No,Fair,Yes
65,42488,No,Fair,No
36,78605,No,Excellent,No
21,58287,No,Fair,No
52,54433,No,Excellent,Yes
66,60618,No,Fair,No
34,83126,No,Fair,No
61,79970,No,Excellent,Yes
45,26307,Yes,Fair,Yes
47,31842,Yes,Excellent,No
46,25798,Yes,Fair,Yes
63,38793,Yes,Fair,Yes
23,50823,Yes,Excellent,Yes
52,53630,No,Excellent,No
58,27042,Yes,Excellent,No
54,21989,No,Excellent,No
41,38528,Yes,Excellent,Yes
46,63742,No,Fair,Yes
66,66355,No,Fair,No
63,75587,No,Excellent,Yes
48,49515,No,Excellent,Yes
52,62422,Yes,Excellent,Yes
50,65148,No,Fair,No
69,42547,Yes,Fair,No
38,55817,No,Excellent,No
49,59880,Yes,Excellent,No
40,36362,No,Excellent,Yes
50,74631,No,Excellent,Yes
20,49417,Yes,Excellent,No
35,51305,Yes,Fair,Yes
42,35789,Yes,Fair,No
59,38308,Yes,Fair,No
48,17052,No,Fair,No
